order_id,purchase_month,status,category,state,revenue,review_score,delivery_days,delivery_bucket
o001,2025-01,delivered,Electronics,RR,125.00,4.8,3,0-3 days
o002,2025-01,shipped,Home,AP,82.00,4.1,6,4-7 days
o003,2025-02,processing,Beauty,AM,54.00,3.7,10,8-14 days
o004,2025-02,canceled,Sports,PA,168.00,2.4,18,15-30 days
o005,2025-03,delivered,Books,AC,39.00,4.9,2,0-3 days
o006,2025-03,shipped,Fashion,RO,96.00,4.3,5,4-7 days
o007,2025-04,processing,Electronics,MT,214.00,3.5,12,8-14 days
o008,2025-04,delivered,Home,TO,143.00,4.7,4,4-7 days
o009,2025-05,canceled,Beauty,MA,67.00,2.1,25,15-30 days
o010,2025-05,delivered,Sports,PI,188.00,4.6,3,0-3 days
o011,2025-06,shipped,Books,CE,45.00,4.0,7,4-7 days
o012,2025-06,processing,Fashion,RN,112.00,3.2,14,8-14 days
o013,2025-07,delivered,Electronics,PB,247.00,5.0,2,0-3 days
o014,2025-07,canceled,Home,PE,91.00,2.8,31,31+ days
o015,2025-08,shipped,Beauty,AL,73.00,4.2,6,4-7 days
o016,2025-08,delivered,Sports,SE,201.00,4.8,4,4-7 days
o017,2025-09,processing,Books,BA,58.00,3.6,11,8-14 days
o018,2025-09,delivered,Fashion,GO,134.00,4.5,3,0-3 days
o019,2025-10,shipped,Electronics,DF,276.00,4.4,8,8-14 days
o020,2025-10,canceled,Home,MS,105.00,2.6,22,15-30 days
o021,2025-11,delivered,Beauty,MG,79.00,4.7,2,0-3 days
o022,2025-11,processing,Sports,ES,219.00,3.9,13,8-14 days
o023,2025-12,shipped,Books,RJ,63.00,4.1,7,4-7 days
o024,2025-12,delivered,Fashion,SP,152.00,4.9,4,4-7 days
o025,2025-12,delivered,Electronics,PR,184.00,4.6,5,4-7 days
o026,2025-12,shipped,Home,SC,117.00,4.2,7,4-7 days
o027,2025-12,processing,Beauty,RS,88.00,3.8,12,8-14 days
o028,2025-01,delivered,Sports,SP,232.00,4.9,3,0-3 days
o029,2025-02,shipped,Books,RJ,74.00,4.0,6,4-7 days
o030,2025-03,delivered,Fashion,MG,169.00,4.7,4,4-7 days
o031,2025-04,processing,Electronics,BA,205.00,3.6,11,8-14 days
o032,2025-05,delivered,Home,SP,146.00,4.8,3,0-3 days
o033,2025-06,canceled,Beauty,RJ,61.00,2.5,24,15-30 days
o034,2025-07,delivered,Sports,MG,221.00,4.9,4,4-7 days
o035,2025-08,shipped,Books,BA,69.00,4.1,7,4-7 days
